model,family,n,mae,rmse,r2,median_absolute_error,mean_bias,macro_mae,low_visibility_mae,ceiling_label_mae,within_1km,within_2km,balanced_regime_mae,feature_mode,pca_components,C,epsilon,alpha,weight_beta
image_svr_pc1_C1.0_e0.75,svr,127,1.016652573603605,1.4522162970275123,-0.023622239662932643,0.7497965531699258,-0.22103750597003863,2.6277185801684206,2.2964343997605208,0.74850781002787,0.9133858267716536,0.9133858267716536,1.5224711048941955,image,1.0,1.0,0.75,,
image_svr_pc1_C0.3_e0.75,svr,127,1.017133450610652,1.4523105451390692,-0.023755109117442386,0.7497763716245593,-0.22169708563484616,2.626059144880163,2.2959185989074395,0.7491975147770393,0.9133858267716536,0.9133858267716536,1.5225580568422394,image,1.0,0.3,0.75,,
fusion_svr_pc5_C0.3_e0.75,svr,127,1.0174161385637774,1.4564429597665953,-0.029589397746639046,0.7441942307831688,-0.21915580139561214,2.6326786973773944,2.304069609553567,0.747831601784964,0.9133858267716536,0.9133858267716536,1.5259506056692653,fusion,5.0,0.3,0.75,,
fusion_svr_pc10_C0.3_e0.75,svr,127,1.0174720924185519,1.4531456246135004,-0.024932767257019872,0.745816879858582,-0.2261230712950446,2.6299498470780405,2.28412103824285,0.7520789799601273,0.9133858267716536,0.9133858267716536,1.5181000091014887,fusion,10.0,0.3,0.75,,
image_svr_pc15_C0.3_e0.75,svr,127,1.017755296589558,1.4550890140794748,-0.027676023573093067,0.7478677961063092,-0.22759690730878726,2.6286008129773037,2.280684441787679,0.7531415709289994,0.9133858267716536,0.9133858267716536,1.5169130063583391,image,15.0,0.3,0.75,,
fusion_svr_pc15_C0.3_e0.75,svr,127,1.019298904102865,1.4560700992689712,-0.029062299760653554,0.7487003253587989,-0.22896705728913336,2.6300433060512476,2.2811851033032706,0.7549037004608752,0.9133858267716536,0.9133858267716536,1.518044401882073,fusion,15.0,0.3,0.75,,
fusion_svr_pc10_C1.0_e0.75,svr,127,1.0214151673701193,1.459142858149893,-0.033410162937725474,0.735122041503983,-0.23481527413239253,2.6542802116506166,2.2829668047314,0.7570900623991842,0.889763779527559,0.9133858267716536,1.520028433565292,fusion,10.0,1.0,0.75,,
fusion_weighted_ridge_pc3_a1000.0_b0.1,ridge,127,1.0227289415248335,1.5103473248007857,-0.10721194375215126,0.7204028896911989,-0.2015551206724761,2.7516436789359666,2.3900368627688393,0.7362453770737085,0.7716535433070866,0.9133858267716536,1.563141119921274,fusion,3.0,,,1000.0,0.1
image_svr_pc15_C1.0_e0.75,svr,127,1.0251049855418766,1.4658547593658093,-0.042939181508665936,0.7429168746688344,-0.23962375251351906,2.657861057980016,2.2881237102138545,0.7604724908487003,0.8818897637795275,0.9133858267716536,1.5242981005312775,image,15.0,1.0,0.75,,
fusion_svr_pc8_C3.0_e0.75,svr,127,1.0261817069382424,1.5021273410377793,-0.09519285717343062,0.7551852024130898,-0.23787296057485052,2.741540033839178,2.358967520526282,0.7469313459959865,0.6692913385826772,0.9133858267716536,1.5529494332611342,fusion,8.0,3.0,0.75,,
fusion_svr_pc15_C1.0_e0.75,svr,127,1.030101774127694,1.469261770979696,-0.04779291652611306,0.7453560896106577,-0.24420428188241144,2.6622297646560225,2.2888925945226095,0.7663551260449498,0.8740157480314961,0.9133858267716536,1.5276238602837797,fusion,15.0,1.0,0.75,,
fusion_weighted_ridge_pc10_a1.0_b0.1,ridge,127,1.0328621182783753,1.5471515631981563,-0.16183062921698244,0.7578087208090736,-0.25227184624256976,2.6940544097229373,2.2945735945149637,0.7685035232573758,0.6535433070866141,0.8818897637795275,1.5315385588861696,fusion,10.0,,,1.0,0.1
fusion_svr_pc1_C30.0_e1.0,svr,127,1.0329262205646974,1.5743912801635054,-0.20310200927993316,0.7489388184000934,-0.1907430944287978,2.8629315050375386,2.4361948588413997,0.7389080296876741,0.7007874015748031,0.8976377952755905,1.5875514442645369,fusion,1.0,30.0,1.0,,
fusion_weighted_ridge_pc10_a1000.0_b0.1,ridge,127,1.0333407657606184,1.524340985537097,-0.12782405762249804,0.7562807829323894,-0.23282987789969492,2.6995542663378185,2.351376067012362,0.7571809883554909,0.6929133858267716,0.9133858267716536,1.5542785276839264,fusion,10.0,,,1000.0,0.1
fusion_weighted_ridge_pc2_a100.0_b0.1,ridge,127,1.0334215001546467,1.5199855643663358,-0.12138831757633373,0.7459400235358622,-0.21142398021322303,2.67239354222823,2.3725837507400183,0.7528351238415211,0.7401574803149606,0.9133858267716536,1.5627094372907697,fusion,2.0,,,100.0,0.1
image_svr_pc2_C30.0_e1.0,svr,127,1.0339022890169347,1.4686877880488391,-0.04697441326636209,0.8738266897181273,-0.29342588101294903,2.7398451887734656,2.1734685243932526,0.7951360301761822,0.7165354330708661,0.9133858267716536,1.4843022772847174,image,2.0,30.0,1.0,,
